4418 499 20
1897 7233 110
4725 1913 150
3708 2893 50
9346 7863 4139
5582 7658 3906.29
7307 5585 350
2383 7658 6604
499 902 50
499 500 20
9320 1888 1
1998 500 50
8605 9129 302
7315 4386 5
2916 9785 255
9788 6426 1
9795 9346 5
9796 9346 225
9803 7015 10
9807 9023 10
8984 1694 200
9804 9811 200
664 929 904
9817 9023 10
3604 1713 105
1795 3723 110
3733 3723 50
8984 3035 100
6 37 20
9670 9417 200
9703 9417 200
9702 9446 250
9704 9439 66
9839 6994 1371
9712 6994 278
9700 6424 166
9710 6505 250
9715 8070 300
6 36 20
9713 8073 250
9666 9428 300
9088 3723 70
9660 9439 300
9669 9417 300
9820 9831 5
9406 9428 161
9453 9446 300
9396 9417 193
9834 9820 5
9438 9450 100
9383 8070 138
9832 9806 82
9449 6505 110
9831 9834 5
4612 2353 5
6668 6831 100
6831 6675 100
5529 1623 85
9392 9428 300
5036 4589 80
9410 9448 300
9395 9417 300
9379 9450 300
5036 4595 2720
9416 6505 320
5036 5071 1370
5036 6387 1677
9421 8071 350
9407 9448 183
9408 9417 320
5740 8071 334
8159 8071 500
3860 1766 900
4937 3860 1200
9857 9858 100
1349 821 1
9600 9803 460
9882 9878 2
9880 9882 2
9879 9882 2
9878 9881 2
5357 6799 20
6799 3612 20
9869 9882 50
9888 9869 2
9876 9880 45
9892 9876 2
9890 9869 2
9891 9876 2
9900 9869 2
9898 9869 2
8836 3574 20
9901 9876 2
9902 9876 2
4386 4650 50
9813 9905 20
9910 9869 2
9914 9869 2
9907 9876 2
9911 9876 2
9913 9869 2
9915 39 40
8303 8392 30
9916 9876 2
9912 7938 83
9922 9876 2
9917 9876 2
9919 9876 2
9875 9813 544
8392 8287 30
8287 8303 30
1774 3292 1040
9929 9876 2
9930 9869 2
8758 4034 120
9938 9869 2
9939 9876 2
9941 9876 2
9943 9869 2
7902 8266 832
7899 8213 60
9947 9876 2
9949 8322 185
8018 9934 50
8786 7902 2
9796 9795 5
915 661 270
6900 661 3000
9934 7871 255
8288 8794 13
8798 4027 400
8794 4027 20
8288 8812 20
8332 8345 2
8218 4027 94
9949 4027 90
8288 8218 20
707 1593 1273
8288 8250 20
8266 4027 682
4937 2383 150
9442 6424 135
9410 6424 5549
1623 1654 25
3860 7658 6739
9947 8072 300
9910 8159 53
9914 8159 300
9930 8071 302
